years,component,docs_url,data_url
2005-2006,Demographics,https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/DEMO_D.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/DEMO_D.XPT
2007-2008,Demographics,https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/DEMO_E.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/DEMO_E.XPT
2003-2004,Demographics,https://wwwn.cdc.gov/Nchs/Nhanes/2003-2004/DEMO_C.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2003-2004/DEMO_C.XPT
2001-2002,Demographics,https://wwwn.cdc.gov/Nchs/Nhanes/2001-2002/DEMO_B.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2001-2002/DEMO_B.XPT
1999-2000,Demographics,https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/DEMO.htm,https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/DEMO.XPT
2009-2010,Demographics,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/DEMO_F.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/DEMO_F.XPT
2011-2012,Demographics,https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/DEMO_G.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/DEMO_G.XPT
2013-2014,Demographics,https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/DEMO_H.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/DEMO_H.XPT
2015-2016,Demographics,https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/DEMO_I.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/DEMO_I.XPT
2017-2018,Demographics,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/DEMO_J.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/DEMO_J.XPT
2017-2020,Demographics,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/P_DEMO.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/P_DEMO.XPT
1999-2000,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/DRXIFF.htm,https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/DRXIFF.XPT
2001-2002,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2001-2002/DRXIFF_B.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2001-2002/DRXIFF_B.XPT
2003-2004,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2003-2004/DR1IFF_C.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2003-2004/DR1IFF_C.XPT
2009-2010,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/DR1IFF_F.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/DR1IFF_F.XPT
2007-2008,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/DR1IFF_E.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/DR1IFF_E.XPT
2011-2012,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/DR1IFF_G.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/DR1IFF_G.XPT
2005-2006,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/DR1IFF_D.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/DR1IFF_D.XPT
2013-2014,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/DR1IFF_H.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/DR1IFF_H.XPT
2015-2016,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/DR1IFF_I.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/DR1IFF_I.XPT
2017-2018,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/DR1IFF_J.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/DR1IFF_J.XPT
2017-2020,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/P_DR1IFF.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/P_DR1IFF.XPT
2003-2004,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2003-2004/DR2IFF_C.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2003-2004/DR2IFF_C.XPT
2009-2010,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/DR2IFF_F.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/DR2IFF_F.XPT
2007-2008,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/DR2IFF_E.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/DR2IFF_E.XPT
2011-2012,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/DR2IFF_G.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/DR2IFF_G.XPT
2005-2006,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/DR2IFF_D.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/DR2IFF_D.XPT
2013-2014,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/DR2IFF_H.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/DR2IFF_H.XPT
2015-2016,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/DR2IFF_I.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/DR2IFF_I.XPT
2017-2018,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/DR2IFF_J.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/DR2IFF_J.XPT
2017-2020,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/P_DR2IFF.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/P_DR2IFF.XPT
1999-2000,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/DRXTOT.htm,https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/DRXTOT.XPT
2001-2002,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2001-2002/DRXTOT_B.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2001-2002/DRXTOT_B.XPT
2003-2004,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2003-2004/DR1TOT_C.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2003-2004/DR1TOT_C.XPT
2009-2010,Dietary,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/DR1TOT_F.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/DR1TOT_F.XPT
